class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-color;has-ring;ring-type;habitat;season
e;13.28;x;t;n;t;p;c;y;9.91;23.22;n;f;f;d;a
p;1.62;x;g;n;f;d;d;n;2.45;2.81;n;f;f;h;u
e;8.64;f;t;n;f;s;c;g;7.1;19.32;u;f;f;d;w
e;12.35;f;s;n;t;e;c;n;9.68;17.14;w;t;r;m;u
p;7.26;x;g;n;f;e;c;w;8.46;16.24;w;t;p;d;u
p;2.15;f;h;n;f;a;c;y;7.25;3.16;y;f;f;g;u
p;2.65;f;d;b;f;x;c;w;3.98;2.31;n;f;f;d;u
e;4.54;x;d;n;f;p;c;e;5.16;10.86;y;f;f;d;a
e;9.65;x;e;y;f;x;c;w;7.88;22.99;w;f;f;d;u
p;8.74;x;i;n;f;a;c;n;9.34;14.47;n;f;f;h;a
p;7.88;x;y;y;f;a;c;n;10.97;11.81;y;t;f;d;u
p;20.62;x;k;w;t;d;d;n;7.33;29.31;w;f;f;d;u
e;11.46;s;t;w;t;d;c;p;6.93;25.93;w;f;f;d;a
e;2.59;x;d;n;f;p;c;y;3.88;10.14;y;f;f;d;a
e;5.75;b;h;k;f;s;d;w;4.17;8.21;g;f;f;d;a
p;4.44;b;s;y;f;a;c;r;9.94;7.25;y;t;z;d;u
p;6.98;f;y;y;f;s;c;y;7.5;16.44;e;f;f;d;a
e;6.4;x;t;y;f;a;c;w;6.38;17.16;g;f;f;d;w
e;8.63;x;t;n;t;p;c;n;7.6;18.15;n;t;p;d;u
p;7.64;f;t;y;f;x;c;y;6.94;12.77;w;f;f;d;u
e;1.67;f;w;g;f;a;d;k;4.88;2.72;w;f;f;d;u
e;7.96;f;h;o;f;s;c;n;8.62;10.97;o;f;f;d;a
p;5.57;f;t;e;f;x;c;w;14.53;6.75;n;f;f;d;u
e;3.11;b;y;n;f;a;c;k;5.91;2.74;w;f;f;d;s
e;4.61;x;t;y;f;a;c;y;4.88;9.01;w;f;f;d;a
e;6.92;x;y;n;f;e;c;p;4.74;9.83;n;f;f;d;u
e;11.24;f;t;l;f;s;c;b;7.9;20.38;u;f;f;l;a
p;4.04;b;h;n;f;a;c;n;10.27;5.43;w;t;f;g;u
p;5.86;x;s;g;t;s;d;w;4.69;12.54;w;f;f;d;a
e;5.37;f;s;k;f;a;c;w;4.61;15.3;w;f;f;d;u
e;15.52;x;y;n;t;e;c;w;10.37;17.61;w;t;f;g;u
e;6.77;x;t;n;f;p;d;y;6.76;12.49;n;f;f;d;a
e;8.1;x;t;w;f;e;c;w;5.89;12.23;w;t;g;d;u
e;3.85;f;g;n;f;a;d;g;4.92;3.48;g;f;f;d;a
p;3.85;x;t;n;f;a;c;n;4.65;5.56;n;t;z;d;w
p;18.34;f;g;o;f;e;c;w;18.57;17.81;w;t;g;d;w
p;1.28;f;s;y;f;f;f;f;3.39;5.28;y;f;f;d;a
p;1.84;b;g;n;f;a;c;n;5.08;2.54;n;f;f;d;u
p;9.14;x;e;n;f;a;c;n;11.28;15.89;n;f;f;d;a
p;4.11;x;h;l;f;s;c;u;6.89;8.49;l;t;e;g;u
p;2.71;f;t;y;f;a;c;y;4.67;5.12;y;f;f;d;u
e;11.88;f;t;w;f;d;c;w;2.62;17.93;w;f;f;d;a
e;11.8;f;s;w;t;e;c;n;11.6;17.33;w;t;r;m;u
p;13.43;x;g;n;f;p;c;y;5.58;34.04;n;f;f;d;w
e;11.0;s;t;w;t;d;c;p;6.54;26.56;w;f;f;d;u
e;17.91;x;d;o;f;p;c;n;14.23;33.19;w;f;f;d;a
e;7.31;f;s;n;f;s;c;y;8.47;11.72;o;f;f;d;a
e;10.02;f;t;l;f;d;c;y;2.73;15.0;w;f;f;d;w
p;7.79;f;t;r;f;x;c;y;6.8;12.33;w;f;f;d;u
p;3.96;x;t;n;f;a;c;n;4.74;6.05;o;t;z;d;w
e;8.85;x;t;g;f;s;c;g;7.62;22.47;u;f;f;g;w
e;6.07;s;t;n;f;d;c;w;5.93;8.85;w;f;f;l;u
p;6.32;x;i;y;f;a;c;n;7.12;7.58;n;t;z;g;u
e;3.42;x;t;y;f;a;c;y;4.31;9.77;w;f;f;d;a
e;13.73;x;e;n;t;e;c;w;9.15;16.76;w;t;f;d;u
e;3.99;x;s;o;f;p;c;n;5.34;9.97;n;f;f;d;a
p;3.13;f;d;n;f;x;c;y;4.29;2.83;n;f;f;l;a
p;4.88;f;t;y;f;s;d;y;5.56;14.75;y;f;f;d;a
e;1.31;f;w;n;f;a;d;g;4.85;2.46;w;f;f;d;s
p;1.06;b;t;y;f;a;c;g;3.52;2.47;n;t;f;g;u
p;9.91;s;t;p;t;d;c;p;7.68;13.53;p;t;f;d;a
p;2.78;f;t;u;f;a;c;n;3.89;3.61;u;f;f;p;u
e;7.85;x;d;y;t;p;c;y;7.18;17.01;y;f;f;d;a
e;7.79;f;s;o;f;s;c;y;9.08;12.15;n;f;f;d;a
e;10.01;s;t;p;t;d;c;o;5.43;17.0;w;f;f;d;a
p;3.54;f;k;n;f;s;c;p;3.67;2.74;n;f;f;g;a
e;11.4;x;y;n;t;e;c;p;9.21;18.23;w;t;l;l;a
e;10.27;s;t;w;t;d;c;o;5.55;17.0;w;f;f;d;u
p;8.56;b;y;w;f;a;c;k;12.95;17.98;w;f;f;d;a
e;3.95;x;t;l;f;a;c;r;5.53;6.33;l;f;f;d;u
e;11.15;f;s;r;f;x;c;n;6.93;22.58;n;f;f;d;u
p;4.26;b;y;n;f;a;c;w;5.39;4.46;w;f;f;d;u
p;1.79;b;g;n;f;a;c;n;5.96;3.33;n;f;f;d;a
e;20.39;p;d;o;f;p;c;w;17.33;36.48;w;f;f;d;a
e;4.25;f;g;g;f;a;d;g;5.93;3.4;g;f;f;d;a
p;5.99;c;i;y;f;a;c;r;6.94;7.95;w;f;f;d;u
e;2.5;x;k;n;f;p;c;y;3.46;9.13;n;f;f;d;a
p;0.71;x;g;o;f;a;c;y;3.62;0.84;w;f;f;d;a
e;3.55;x;t;b;f;a;d;u;6.43;4.47;w;f;f;d;a
p;7.2;f;t;y;f;x;c;y;6.36;10.46;w;f;f;d;a
e;5.82;x;y;n;f;e;c;w;4.76;9.48;n;f;f;d;u
p;5.32;s;d;n;t;d;c;n;5.4;7.8;e;f;f;d;a
p;5.46;s;d;e;t;d;c;n;5.94;7.99;e;f;f;d;a
e;6.87;f;s;n;f;s;c;w;6.32;9.36;n;f;f;l;u
e;3.15;x;s;w;f;d;d;w;3.97;6.34;w;f;f;m;w
e;5.86;x;y;n;f;e;c;p;4.98;10.14;n;f;f;d;a
p;8.01;x;y;n;f;a;c;n;9.68;9.15;n;t;f;d;u
p;10.14;s;t;p;t;d;c;p;7.74;17.69;p;t;f;d;a
e;5.76;x;t;r;f;d;c;r;6.7;8.64;l;f;f;d;a
p;2.35;p;t;n;f;a;c;n;7.48;2.65;y;t;e;m;a
p;4.17;x;k;n;f;s;c;p;4.47;3.56;n;f;f;g;u
p;5.66;x;d;e;t;d;c;n;6.05;8.6;n;f;f;d;a
p;3.05;f;t;p;f;a;c;r;5.06;5.52;y;f;f;m;a
p;2.62;x;s;w;f;d;c;w;3.1;7.71;w;f;f;g;a
p;20.67;x;k;w;t;d;d;w;7.34;32.07;w;f;f;d;u
e;5.88;s;s;o;f;d;d;b;5.74;12.63;w;f;f;m;a
e;4.77;x;t;w;f;x;c;g;6.39;4.04;w;f;f;d;u
e;10.11;s;t;w;t;d;c;y;5.72;23.89;w;f;f;d;u
p;6.95;f;h;e;f;x;d;w;6.07;18.14;w;f;f;d;a
p;8.82;o;t;o;f;a;c;y;1.78;17.23;y;f;f;d;a
p;8.41;x;y;w;t;a;c;w;8.58;15.65;w;t;l;g;u
p;3.64;b;h;n;f;a;c;k;9.69;6.51;w;t;f;g;u
p;3.93;o;s;r;f;f;f;f;0.0;0.0;f;t;f;d;u
e;11.87;f;t;l;f;s;c;u;9.09;21.62;u;f;f;d;a
e;2.63;f;y;n;f;d;d;p;7.49;3.85;n;f;f;l;u
e;3.06;x;s;o;f;a;c;e;5.04;6.84;e;f;f;g;a
e;6.72;x;t;n;f;p;d;y;5.29;11.59;n;f;f;g;u
e;3.39;x;s;w;f;d;d;w;3.37;4.92;w;f;f;g;w
p;3.18;b;t;n;f;a;c;k;9.19;2.68;g;f;f;g;a
e;4.05;x;h;n;f;a;c;k;5.73;6.48;w;f;f;d;a
e;0.73;x;g;e;t;a;c;w;5.37;0.89;n;f;f;d;a
p;5.19;x;t;w;f;a;c;g;3.1;12.11;y;f;f;d;a
p;3.21;x;k;n;f;s;c;p;4.21;3.14;n;f;f;g;a
e;3.36;x;s;w;f;d;d;w;3.23;5.02;w;f;f;m;w
p;8.07;x;w;p;f;s;c;p;4.37;9.46;p;f;f;d;w
e;9.72;f;g;o;f;s;c;n;9.84;13.83;n;f;f;d;a
p;13.66;f;t;n;f;e;c;w;11.32;17.33;w;t;e;d;u
p;5.6;c;i;y;f;a;c;n;6.46;8.17;w;f;f;d;a
e;4.78;f;t;w;f;x;c;w;6.9;4.26;w;f;f;d;a
p;5.9;o;s;w;f;a;c;w;0.0;0.0;f;f;f;d;u
p;6.15;f;t;r;f;x;c;n;6.08;9.43;w;f;f;d;u
p;4.42;s;d;y;f;d;c;y;3.87;6.15;y;f;f;d;a
p;5.69;c;k;y;t;x;c;p;8.2;13.63;w;f;f;g;s
p;1.32;x;g;y;f;d;d;n;1.91;2.74;n;f;f;d;a
p;1.57;b;h;n;f;a;c;n;4.04;1.32;n;f;f;g;u
p;8.27;x;i;n;f;a;c;n;8.98;13.8;n;f;f;d;a
p;12.34;x;h;n;t;p;c;o;7.09;26.29;y;f;f;d;u
p;6.66;x;t;n;t;x;c;u;8.99;19.48;u;f;f;d;a
p;20.99;s;k;n;f;d;c;y;6.89;40.3;n;f;f;d;a
p;8.87;x;e;n;f;a;c;n;11.63;11.44;n;f;f;h;a
e;6.23;s;w;y;f;f;f;f;6.39;16.61;y;f;f;d;u
p;6.92;b;t;w;f;e;c;w;12.67;12.24;w;t;l;d;a
p;19.84;f;k;w;t;d;d;w;5.47;29.72;w;f;f;d;a
p;7.15;x;h;r;f;a;c;w;10.42;13.84;w;t;g;d;u
e;7.87;x;y;n;f;e;c;p;5.89;10.02;n;f;f;d;u
p;4.35;f;d;b;f;x;c;w;4.74;3.02;n;f;f;d;u
e;6.63;x;i;n;f;e;c;p;4.56;12.96;w;t;r;w;u
p;13.5;f;t;k;t;d;c;b;4.67;24.73;g;f;f;l;a
p;7.56;s;t;p;t;d;c;p;8.08;14.41;p;t;f;d;a
e;3.98;s;t;n;f;f;f;f;6.95;7.8;o;f;f;d;a
e;8.17;x;s;k;f;a;c;w;3.83;13.85;w;f;f;d;u
p;7.86;b;y;n;f;a;c;k;16.36;17.6;w;f;f;d;a
p;9.06;p;y;n;f;a;c;k;17.29;19.3;w;f;f;d;a
p;1.71;b;g;w;f;a;c;n;5.76;2.99;n;f;f;g;s
e;4.74;x;t;l;f;a;c;r;5.13;6.89;r;f;f;d;a
e;3.37;f;h;n;f;a;c;k;5.46;6.05;w;f;f;d;u
p;4.72;f;t;u;f;a;c;w;4.78;7.4;w;f;f;d;a
p;3.38;x;k;w;f;s;c;p;4.29;3.02;n;f;f;g;u
e;13.43;x;t;n;t;a;c;w;12.49;16.46;w;t;g;d;a
p;5.43;x;t;n;f;d;c;y;5.01;10.0;n;f;f;l;a
e;1.47;c;g;n;f;a;c;w;5.31;1.58;g;f;f;d;u
p;3.99;f;t;e;f;x;c;w;6.18;6.52;w;f;f;d;u
p;2.85;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;u
p;5.82;f;t;y;f;s;d;y;5.64;14.85;y;f;f;d;a
e;4.25;x;d;y;t;p;c;y;6.19;14.34;y;f;f;d;a
p;2.02;b;t;g;f;a;c;g;5.32;2.11;n;f;f;d;a
e;4.43;s;d;p;t;d;c;p;5.38;7.07;n;f;f;d;a
p;2.61;o;s;r;f;f;f;f;0.0;0.0;f;t;f;d;s
p;6.86;x;i;n;f;a;c;n;7.05;7.03;n;t;z;d;u
e;6.46;s;s;o;f;d;d;b;4.83;11.25;w;f;f;d;w
p;1.66;b;h;n;f;a;c;n;4.67;1.66;n;f;f;d;s
e;1.32;c;g;n;f;a;c;g;4.36;1.2;g;f;f;l;a
p;4.11;f;t;n;f;x;c;p;6.76;5.17;g;f;f;m;a
p;4.36;f;t;b;f;x;c;w;5.27;6.67;w;f;f;d;u
e;11.36;s;s;y;f;x;c;n;6.75;22.61;p;f;f;d;a
p;1.36;b;h;n;f;a;c;n;4.18;1.26;n;f;f;h;s
e;11.62;s;t;w;t;d;c;w;6.26;26.62;w;f;f;d;u
p;1.77;f;i;l;f;a;c;p;3.84;2.6;w;f;f;g;a
p;9.34;x;e;n;f;a;c;n;11.91;14.13;n;f;f;h;a
p;5.89;b;d;n;f;d;c;y;5.23;6.1;y;t;f;d;a
e;7.39;x;t;p;f;x;c;w;7.22;17.66;w;f;f;d;a
p;7.8;o;e;y;f;a;c;y;1.77;16.52;n;f;f;d;w
p;4.82;f;y;e;f;e;c;w;4.83;3.38;w;t;e;m;u
p;8.37;b;y;w;f;a;c;p;15.32;17.78;w;f;f;d;a
e;3.15;x;d;n;f;p;c;y;4.01;9.26;y;f;f;d;a
p;0.64;x;g;o;f;a;c;y;3.43;0.76;y;f;f;d;a
e;6.69;x;t;g;t;p;c;g;10.24;23.69;w;f;f;d;a
p;1.18;x;s;y;f;f;f;f;3.28;5.4;y;f;f;d;u
p;8.19;p;y;w;f;a;c;p;16.43;19.13;w;f;f;d;a
p;5.79;o;s;w;f;a;c;w;0.0;0.0;f;f;f;d;u
e;6.56;x;d;e;t;p;c;y;6.11;11.76;y;f;f;d;u
p;11.66;x;e;n;t;p;c;e;5.7;28.83;y;f;f;d;a
e;14.97;f;e;g;f;d;c;w;9.67;25.69;w;f;f;l;a
e;1.62;c;g;n;f;a;c;g;5.27;1.74;g;f;f;d;a
p;4.98;s;t;e;t;d;c;b;6.18;6.0;e;f;f;d;u
e;8.25;x;t;n;t;p;c;g;12.18;26.26;w;f;f;d;u
p;5.21;b;d;n;f;d;c;y;5.16;6.2;y;t;f;d;a
e;8.16;x;t;n;t;a;c;w;10.83;17.87;w;t;g;d;u
p;6.11;o;t;r;f;a;c;o;1.54;16.88;n;f;f;d;w
p;2.13;b;g;o;f;a;c;n;5.77;3.04;n;f;f;d;u
p;3.9;b;t;n;f;x;c;p;5.75;4.37;g;f;f;d;u
e;6.61;x;t;g;t;p;c;g;12.93;24.69;w;f;f;d;a
p;4.77;c;e;y;t;x;c;r;5.89;12.49;w;f;f;d;a
e;9.18;x;t;n;t;a;c;w;8.59;16.44;w;t;g;d;a
p;5.41;x;i;o;f;e;c;y;7.75;7.66;o;f;f;m;u
e;7.47;p;t;g;f;a;c;w;7.69;15.18;g;f;f;g;a
p;7.72;p;g;n;f;e;c;w;8.35;15.88;w;t;p;d;a
e;18.62;f;y;w;f;a;c;w;28.34;20.59;n;t;m;d;a
p;1.51;f;s;o;f;a;c;o;2.72;4.9;o;f;f;h;a
e;5.12;x;h;y;f;p;c;y;6.1;14.17;y;t;f;d;u
e;8.15;f;t;g;f;s;c;g;6.3;19.47;u;f;f;g;a
p;7.43;f;h;r;f;a;c;w;10.44;13.27;w;t;p;d;a
p;1.49;x;t;n;f;a;c;k;4.65;2.12;n;f;f;g;u
p;7.63;f;t;y;f;x;c;y;4.87;13.71;y;f;f;d;a
p;4.68;x;s;r;t;s;d;r;4.23;14.27;w;f;f;d;u
p;9.08;o;e;o;f;a;c;y;1.77;19.14;y;f;f;d;w
e;6.16;x;s;n;f;x;c;w;7.02;10.32;n;f;f;l;w
p;8.99;f;t;w;f;x;c;w;10.64;11.11;w;f;f;h;a
p;1.47;x;t;n;f;a;c;k;4.63;2.31;n;f;f;g;u
p;5.16;b;h;n;f;a;c;n;11.45;7.27;w;t;f;g;a
p;0.9;f;t;o;f;d;c;o;5.65;1.17;y;f;f;g;u
e;9.47;x;h;n;t;p;c;y;8.22;18.38;n;t;p;d;u
e;8.05;f;t;n;f;x;c;w;7.19;19.93;w;f;f;d;u
e;2.69;f;s;w;f;d;d;w;3.32;5.6;w;f;f;m;w
p;6.86;x;i;n;f;a;c;n;8.89;8.78;n;t;z;d;u
p;3.1;o;t;k;f;f;f;f;3.7;12.87;g;f;f;d;u
p;3.39;b;t;r;f;a;c;y;4.77;5.99;r;f;f;d;u
p;1.58;o;k;n;f;a;c;n;3.61;1.39;n;f;f;d;w
e;5.05;p;t;g;f;f;f;f;5.74;21.04;n;f;f;d;s
p;3.6;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;s
e;6.49;s;t;n;f;d;c;w;5.25;7.94;w;f;f;d;u
p;6.57;x;i;n;f;a;c;k;7.3;7.15;n;t;z;d;u
e;5.49;x;t;n;f;e;c;w;11.59;11.25;w;f;f;d;a
e;16.58;s;s;k;f;a;d;k;6.34;21.19;w;f;f;d;u
p;1.51;x;g;y;f;d;d;n;2.1;2.69;n;f;f;h;a
p;6.02;s;t;y;t;d;c;o;4.54;12.59;w;t;f;d;u
e;1.48;x;s;y;f;d;c;w;6.35;1.38;y;f;f;d;a
e;3.05;x;s;w;f;d;d;w;3.55;6.22;w;f;f;m;w
p;4.93;b;t;l;f;s;c;n;6.1;7.85;w;t;e;m;a
p;10.14;x;t;n;f;x;c;w;10.03;11.79;w;f;f;h;a
p;7.67;f;t;r;f;x;c;n;5.78;11.26;w;f;f;d;u
p;1.36;x;t;n;f;a;c;n;4.48;2.12;n;f;f;g;a
p;1.47;b;h;n;f;a;c;n;4.82;1.6;n;f;f;g;a
p;6.69;x;t;n;t;x;c;n;7.84;18.49;u;f;f;d;a
p;4.73;x;t;n;f;a;c;n;4.78;6.86;o;t;z;d;w
e;7.53;f;t;p;f;x;c;w;8.15;17.61;w;f;f;d;a
e;5.52;x;t;n;f;p;d;y;8.07;13.12;n;f;f;d;u
p;4.53;f;l;n;f;x;d;n;6.47;4.93;y;f;f;d;u
p;18.67;f;d;o;f;p;c;y;5.42;41.56;n;f;f;d;a
p;4.13;x;t;y;f;s;d;y;4.76;12.83;y;f;f;d;a
e;6.77;x;d;n;t;p;c;y;5.02;11.15;e;f;f;d;u
p;18.21;f;d;o;f;p;c;y;5.06;42.17;n;f;f;d;a
e;6.67;f;s;b;f;x;c;w;8.45;11.51;n;f;f;l;a
p;3.56;x;h;r;f;s;c;g;5.61;6.01;w;t;e;g;a
p;5.99;p;s;n;f;a;c;k;11.04;12.96;w;t;z;d;u
e;3.66;x;t;y;f;a;c;o;3.12;8.53;w;f;f;d;u
p;3.03;b;t;n;f;a;c;k;10.51;2.73;g;f;f;g;u
e;4.82;x;t;y;f;a;c;y;5.15;9.17;w;f;f;d;u
p;9.82;x;t;u;t;x;c;u;10.78;21.7;u;f;f;d;a
e;8.04;s;t;n;f;a;c;w;4.73;22.97;n;f;f;d;u
e;8.75;f;t;n;t;a;c;w;10.6;14.82;w;t;g;d;u
p;3.91;b;t;n;f;a;c;n;10.39;6.06;w;t;f;g;w
p;6.15;s;d;y;f;d;c;y;3.5;6.25;o;f;f;h;a
p;3.04;x;s;g;f;d;c;w;2.74;7.18;w;f;f;g;u
p;7.7;s;t;y;f;x;c;y;5.39;13.79;y;f;f;d;a
e;10.33;x;s;n;f;e;c;w;7.09;9.37;w;f;f;d;w
e;4.1;x;t;w;f;d;c;r;5.65;6.33;r;f;f;l;u
p;10.27;x;y;y;f;a;c;y;12.64;23.07;y;t;r;d;a
p;4.7;f;k;y;f;p;c;n;3.51;6.19;n;t;f;d;u
e;3.58;f;t;w;f;x;c;g;5.89;3.47;w;f;f;d;a
p;11.4;x;e;n;t;p;c;e;8.86;32.54;u;f;f;d;u
e;13.25;x;s;w;t;e;c;g;7.71;17.41;w;t;l;m;a
p;11.11;x;y;y;f;a;c;y;10.82;21.79;o;t;r;d;a
p;7.62;b;t;w;f;e;c;w;11.37;10.95;w;t;l;d;u
e;6.42;x;t;n;f;p;d;y;6.67;12.29;n;f;f;g;a
e;12.17;x;t;n;t;p;c;y;8.78;23.27;n;f;f;d;u
e;9.36;s;t;n;f;a;c;w;4.59;22.36;n;f;f;d;a
e;12.26;x;t;n;t;p;c;y;10.3;23.66;n;f;f;d;u
p;0.85;x;g;y;f;a;c;y;3.53;0.81;w;f;f;d;u
p;7.07;x;s;n;f;s;c;g;5.19;7.93;n;f;f;d;a
p;9.16;x;h;r;f;a;c;w;10.87;13.98;w;t;p;d;a
e;4.91;x;t;w;f;d;c;r;6.05;7.17;r;f;f;d;a
e;2.35;x;t;b;f;a;d;w;4.63;4.16;w;f;f;d;u
p;7.93;x;i;y;f;a;c;n;9.41;8.63;n;t;z;d;a
p;2.2;f;i;l;f;a;c;w;4.34;2.49;w;f;f;g;u
p;1.72;x;g;y;f;d;d;n;2.47;2.56;n;f;f;d;u
p;2.23;x;g;n;f;a;c;w;5.66;2.4;n;f;f;d;a
p;6.96;o;k;n;f;a;c;o;1.36;15.09;n;f;f;d;w
p;6.44;f;t;n;f;d;c;w;6.02;10.59;n;f;f;d;w
p;18.44;f;k;w;t;d;d;n;6.43;28.67;w;f;f;d;w
p;8.63;p;t;n;f;p;c;w;10.51;30.49;n;f;f;d;a
e;12.01;s;s;u;f;x;c;n;8.3;22.92;p;f;f;d;w
p;3.03;f;t;u;f;a;c;w;3.82;7.33;y;f;f;d;u
p;5.28;s;t;e;t;d;c;p;5.19;5.65;n;f;f;d;u
e;8.52;x;h;y;t;x;c;y;7.82;15.69;w;f;f;d;a
p;6.88;f;t;y;f;s;d;y;6.1;13.57;y;f;f;d;a
p;9.08;x;t;g;t;x;c;u;9.76;22.76;u;f;f;d;a
p;4.72;o;t;w;f;a;c;w;0.0;0.0;f;f;f;d;u
e;3.81;x;t;y;f;a;c;o;4.73;9.99;w;f;f;d;a
e;47.84;o;y;y;f;p;c;y;7.12;46.5;k;f;f;d;u
e;2.66;x;s;e;f;a;c;e;4.0;5.96;e;f;f;g;a
p;0.68;x;t;o;f;d;c;o;4.99;1.06;o;f;f;g;a
p;6.55;s;t;n;t;d;c;b;6.91;6.15;n;f;f;d;u
e;5.98;c;h;n;f;e;c;w;12.31;11.38;n;f;f;d;u
p;3.74;x;t;n;f;s;c;n;5.33;7.21;w;t;z;d;u
p;2.66;s;s;g;f;d;c;w;3.0;6.53;w;f;f;g;u
e;8.06;x;d;e;t;p;c;y;6.12;12.42;e;f;f;d;u
e;3.39;b;g;w;f;x;d;w;3.83;2.49;y;f;f;g;a
e;8.49;x;t;y;t;x;c;y;8.48;17.32;w;f;f;d;a
e;6.44;x;t;w;f;e;c;w;6.25;12.17;w;t;g;d;u
e;4.1;x;t;y;f;a;c;o;4.21;9.19;w;f;f;d;u
p;4.08;x;t;y;f;x;c;w;4.38;5.82;w;f;f;d;a
p;5.6;f;t;n;f;x;c;w;13.64;7.06;n;f;f;d;u
e;9.71;x;t;n;f;p;c;y;12.95;51.71;n;f;f;d;a
e;5.27;x;t;y;f;a;c;o;4.35;10.24;w;f;f;d;u
p;14.51;f;t;k;t;d;c;w;5.24;25.33;r;f;f;d;u
e;14.05;p;s;n;t;e;c;n;8.02;16.15;w;t;r;m;a
p;8.94;b;t;w;f;e;c;w;13.19;13.1;w;t;e;d;u
e;10.27;x;t;n;t;p;c;y;7.98;22.26;n;f;f;d;u
e;3.59;s;t;y;f;f;f;f;7.08;7.86;o;f;f;d;a
e;5.11;x;y;g;f;s;c;y;4.34;7.38;w;f;f;d;u
p;3.21;x;t;n;f;x;c;p;7.7;4.07;p;f;f;d;u
p;1.49;x;t;n;f;a;c;n;4.61;2.21;n;f;f;g;u
p;2.37;f;s;w;f;d;c;w;2.99;7.34;w;f;f;g;u
p;4.47;b;s;y;f;a;c;k;8.04;7.62;y;t;z;d;u
e;7.72;x;h;y;t;x;c;y;8.55;14.09;w;f;f;d;a
p;1.86;b;g;w;f;a;c;n;5.28;2.86;n;f;f;g;a
e;6.33;x;t;w;f;e;c;w;5.88;12.74;y;t;g;d;u
e;9.13;x;s;n;t;e;c;g;10.76;16.56;w;t;r;m;a
p;7.69;f;t;r;f;x;c;n;7.87;15.0;w;f;f;d;u
p;3.24;f;d;n;f;x;c;w;3.53;2.56;n;f;f;d;u
p;3.17;b;y;n;f;a;c;w;5.38;4.57;w;f;f;d;a
e;6.33;f;y;w;f;e;c;k;4.66;12.94;w;t;e;m;u
p;6.3;b;t;w;f;e;c;w;12.52;11.81;w;t;e;d;a
e;1.58;f;w;n;f;a;d;k;4.78;2.56;w;f;f;g;w
p;1.52;o;k;n;f;a;c;n;3.15;1.28;n;f;f;d;a
e;5.4;x;h;o;f;a;d;w;8.05;6.05;o;f;f;d;a
e;6.95;s;t;y;f;a;c;w;5.7;14.11;g;f;f;d;u
e;7.16;f;s;n;f;s;c;n;8.71;12.11;n;f;f;d;a
e;15.89;p;y;n;f;a;c;w;25.92;21.24;n;t;m;d;u
p;2.68;c;t;u;f;a;c;w;2.96;3.63;w;f;f;d;a
e;2.7;x;t;b;f;a;d;w;6.72;4.85;w;f;f;d;u
p;2.52;x;g;e;f;a;c;p;6.5;2.55;n;f;f;d;a
p;5.51;b;s;y;f;a;c;r;9.18;8.56;y;t;z;d;w
p;4.97;s;d;y;f;d;c;y;3.81;6.96;o;f;f;d;u
e;6.85;x;t;y;f;p;c;y;8.1;16.68;y;t;f;d;u
e;21.22;p;d;n;f;p;c;w;17.83;35.17;w;f;f;d;a
e;7.51;f;t;y;f;a;c;w;5.69;14.36;g;f;f;d;w
e;3.49;x;k;n;f;p;c;y;4.28;10.26;n;f;f;d;a
e;3.11;f;d;u;t;d;c;p;4.8;5.9;n;f;f;d;a
p;6.64;f;d;n;t;d;c;y;5.78;9.67;n;f;f;d;a
e;13.2;s;t;w;t;d;c;p;6.52;27.01;w;f;f;d;a
p;4.12;b;s;y;f;a;c;k;8.29;6.56;y;t;z;d;s
e;9.66;x;h;n;t;p;c;y;7.33;21.14;n;f;f;d;u
p;1.53;b;h;n;f;a;c;n;4.4;1.47;n;f;f;h;a
e;6.82;x;h;n;f;p;d;y;7.09;13.65;n;f;f;h;u
e;15.93;s;s;n;f;a;d;y;6.82;22.76;w;f;f;d;u
e;5.89;s;t;n;f;d;c;w;5.54;8.4;w;f;f;d;a
p;11.97;x;s;n;f;s;c;y;8.2;17.97;n;f;f;d;u
p;18.39;s;k;w;t;d;d;n;6.01;32.28;w;f;f;d;a
e;1.1;p;g;g;f;a;c;g;3.1;1.61;w;f;f;d;a
p;1.42;b;h;n;f;a;c;n;3.99;1.33;n;f;f;g;u
e;5.9;s;l;n;f;f;f;f;9.15;54.28;n;f;f;d;w
e;11.64;f;s;n;f;d;d;w;10.0;17.58;n;t;f;d;a
e;4.38;x;t;y;f;a;c;o;3.51;10.13;w;f;f;d;u
e;7.9;f;t;p;f;x;c;w;6.97;15.86;w;f;f;d;a
p;3.11;x;s;g;f;d;c;w;2.85;6.8;w;f;f;g;a
p;2.7;o;t;w;f;f;f;f;5.29;29.12;w;t;f;d;u
e;4.07;f;t;n;f;a;d;w;6.63;5.66;n;f;f;d;a
e;11.77;f;t;g;f;s;c;b;6.96;20.36;u;f;f;d;w
p;1.98;c;h;n;f;a;c;n;7.72;2.54;y;f;f;g;u
p;10.83;x;e;y;t;p;c;o;7.23;20.12;e;f;f;d;u
e;3.5;f;t;n;f;d;c;o;5.59;6.37;o;f;f;d;a
p;5.86;f;k;y;f;p;c;n;3.87;6.62;n;t;f;d;u
p;4.56;x;t;p;f;a;c;r;2.87;11.31;y;f;f;d;a
e;6.91;x;t;w;f;e;c;w;6.12;13.0;y;t;g;d;u
